Governor,Package,Run,TotalTime(ms)
neural,com.grofers.customerapp,1,556
neural,com.grofers.customerapp,2,542
neural,com.grofers.customerapp,3,626
neural,com.grofers.customerapp,4,602
neural,com.grofers.customerapp,5,695
neural,com.superchinese,1,540
neural,com.superchinese,2,484
neural,com.superchinese,3,440
neural,com.superchinese,4,489
neural,com.superchinese,5,432
neural,com.android.email,1,357
neural,com.android.email,2,330
neural,com.android.email,3,324
neural,com.android.email,4,339
neural,com.android.email,5,383
neural,com.linkedin.android,1,619
neural,com.linkedin.android,2,576
neural,com.linkedin.android,3,578
neural,com.linkedin.android,4,617
neural,com.linkedin.android,5,618
neural,com.twitter.android,1,813
neural,com.twitter.android,2,683
neural,com.twitter.android,3,700
neural,com.twitter.android,4,799
neural,com.twitter.android,5,847
neural,com.aurora.store,1,398
neural,com.aurora.store,2,428
neural,com.aurora.store,3,425
neural,com.aurora.store,4,414
neural,com.aurora.store,5,464
neural,com.google.android.apps.bard,1,1329
neural,com.primatelabs.geekbench6,1,923
neural,com.primatelabs.geekbench6,2,993
neural,com.primatelabs.geekbench6,3,1023
neural,com.primatelabs.geekbench6,4,976
neural,com.primatelabs.geekbench6,5,940
neural,com.rapido.passenger,1,396
neural,com.rapido.passenger,2,0
neural,com.rapido.passenger,3,67
neural,com.rapido.passenger,4,65
neural,com.rapido.passenger,5,65
neural,com.aefyr.sai.fdroid,1,256
neural,com.aefyr.sai.fdroid,2,289
neural,com.aefyr.sai.fdroid,3,284
neural,com.aefyr.sai.fdroid,4,275
neural,com.aefyr.sai.fdroid,5,280
neural,org.proninyaroslav.libretorrent,1,827
neural,org.proninyaroslav.libretorrent,2,593
neural,org.proninyaroslav.libretorrent,3,667
neural,org.proninyaroslav.libretorrent,4,631
neural,org.proninyaroslav.libretorrent,5,608
neural,com.android.deskclock,1,894
neural,com.android.deskclock,2,764
neural,com.android.deskclock,3,798
neural,com.android.deskclock,4,744
neural,com.android.deskclock,5,910
neural,com.franco.kernel,1,314
neural,com.franco.kernel,2,285
neural,com.franco.kernel,3,295
neural,com.franco.kernel,4,271
neural,com.franco.kernel,5,272
walt,com.grofers.customerapp,1,527
walt,com.grofers.customerapp,2,630
walt,com.grofers.customerapp,3,538
walt,com.grofers.customerapp,4,538
walt,com.grofers.customerapp,5,575
walt,com.superchinese,1,408
walt,com.superchinese,2,394
walt,com.superchinese,3,392
walt,com.superchinese,4,350
walt,com.superchinese,5,402
walt,com.android.email,1,316
walt,com.android.email,2,320
walt,com.android.email,3,312
walt,com.android.email,4,320
walt,com.android.email,5,336
walt,com.linkedin.android,1,600
walt,com.linkedin.android,2,576
walt,com.linkedin.android,3,571
walt,com.linkedin.android,4,578
walt,com.linkedin.android,5,572
walt,com.twitter.android,1,658
walt,com.twitter.android,2,830
walt,com.twitter.android,3,704
walt,com.twitter.android,4,754
walt,com.twitter.android,5,779
walt,com.aurora.store,1,351
walt,com.aurora.store,2,335
walt,com.aurora.store,3,371
walt,com.aurora.store,4,403
walt,com.aurora.store,5,359
walt,com.google.android.apps.bard,1,1316
walt,com.primatelabs.geekbench6,1,975
walt,com.primatelabs.geekbench6,2,1055
walt,com.primatelabs.geekbench6,3,942
walt,com.primatelabs.geekbench6,4,1043
walt,com.primatelabs.geekbench6,5,998
walt,com.rapido.passenger,1,446
walt,com.rapido.passenger,2,0
walt,com.rapido.passenger,3,70
walt,com.rapido.passenger,4,73
walt,com.rapido.passenger,5,61
walt,com.aefyr.sai.fdroid,1,245
walt,com.aefyr.sai.fdroid,2,285
walt,com.aefyr.sai.fdroid,3,285
walt,com.aefyr.sai.fdroid,4,273
walt,com.aefyr.sai.fdroid,5,274
walt,org.proninyaroslav.libretorrent,1,673
walt,org.proninyaroslav.libretorrent,2,549
walt,org.proninyaroslav.libretorrent,3,526
walt,org.proninyaroslav.libretorrent,4,517
walt,org.proninyaroslav.libretorrent,5,531
walt,com.android.deskclock,1,600
walt,com.android.deskclock,2,605
walt,com.android.deskclock,3,596
walt,com.android.deskclock,4,593
walt,com.android.deskclock,5,609
walt,com.franco.kernel,1,261
walt,com.franco.kernel,2,249
walt,com.franco.kernel,3,270
walt,com.franco.kernel,4,262
walt,com.franco.kernel,5,248
