Time(s),Temp(C),Power(W),Gov_Memory(KB)
0.0,37.7,3.791,0.0
1.55,37.7,7.576,0.0
2.55,37.7,6.434,0.0
3.55,37.7,5.971,0.0
4.55,37.7,5.738,0.0
6.12,37.7,5.7,0.0
7.12,37.7,5.497,0.0
8.35,37.7,5.44,0.0
9.35,37.7,5.873,0.0
12.61,37.7,5.593,0.0
14.46,37.7,5.134,0.0
15.46,37.7,5.035,0.0
16.6,37.7,4.949,0.0
17.81,37.7,5.215,0.0
18.81,37.8,5.192,0.0
20.39,37.8,4.917,0.0
21.47,37.8,5.201,0.0
22.47,37.8,5.588,0.0
23.8,37.8,5.578,0.0
24.8,37.8,5.058,0.0
25.8,37.8,5.39,0.0
26.8,37.8,4.99,0.0
27.8,38.0,4.893,0.0
29.99,38.0,4.896,0.0
30.99,38.0,4.881,0.0
31.99,38.0,4.905,0.0
33.27,38.0,5.039,0.0
34.42,38.0,4.861,0.0
35.83,38.0,4.857,0.0
36.83,38.0,4.9,0.0
38.55,38.0,4.763,0.0
39.55,38.3,4.885,0.0
40.55,38.3,4.834,0.0
41.83,38.3,4.783,0.0
42.83,38.3,4.802,0.0
43.83,38.3,4.788,0.0
45.19,38.3,4.788,0.0
46.73,38.3,4.803,0.0
47.73,38.3,4.841,0.0
49.02,38.6,4.803,0.0
50.79,38.6,4.877,0.0
51.87,38.6,5.03,0.0
52.95,38.6,5.025,0.0
53.96,38.6,4.8,0.0
55.21,38.6,4.837,0.0
57.08,38.6,4.865,0.0
58.68,38.6,4.715,0.0
59.68,38.8,4.735,0.0
61.03,38.8,4.637,0.0
62.03,38.8,4.638,0.0
63.03,38.8,4.577,0.0
64.85,38.8,4.517,0.0
65.85,39.0,4.587,0.0
67.74,39.0,4.21,0.0
68.75,39.1,4.487,0.0
70.18,39.1,4.562,0.0
71.18,39.1,4.731,0.0
72.18,39.1,4.72,0.0
73.76,39.1,4.76,0.0
74.76,39.1,4.655,0.0
76.6,39.1,4.706,0.0
77.6,39.1,4.655,0.0
78.6,39.3,4.764,0.0
80.18,39.3,4.444,0.0
81.18,39.3,4.57,0.0
82.18,39.3,4.536,0.0
84.61,39.3,4.5,0.0
85.98,39.3,4.542,0.0
86.98,39.3,4.651,0.0
88.09,39.3,4.575,0.0
89.66,39.5,4.745,0.0
90.66,39.5,4.794,0.0
91.66,39.5,4.626,0.0
93.06,39.6,4.848,0.0
94.23,39.6,4.61,0.0
95.23,39.6,4.791,0.0
97.51,39.6,4.6,0.0
99.09,39.7,4.5,0.0
100.2,39.7,4.556,0.0
101.32,39.7,4.558,0.0
102.32,39.7,4.682,0.0
103.32,39.7,4.468,0.0
104.32,39.7,4.373,0.0
106.11,39.7,4.482,0.0
107.11,39.7,4.503,0.0
108.15,39.7,4.502,0.0
109.15,39.8,4.429,0.0
110.55,39.8,4.429,0.0
111.55,39.8,4.498,0.0
112.72,39.8,4.226,0.0
114.04,39.8,4.348,0.0
115.41,39.9,4.429,0.0
117.26,39.9,4.442,0.0
118.26,40.0,4.632,0.0
119.87,40.0,4.449,0.0
121.22,40.0,4.7,0.0
122.22,40.0,4.736,0.0
123.22,40.0,4.575,0.0
124.41,40.1,4.601,0.0
125.84,40.1,4.544,0.0
126.84,40.1,4.735,0.0
127.84,40.1,4.424,0.0
129.02,40.2,4.484,0.0
130.74,40.2,4.353,0.0
133.1,40.2,4.387,0.0
134.1,40.2,4.441,0.0
135.1,40.2,4.463,0.0
137.73,40.2,4.219,0.0
138.83,40.2,4.29,0.0
139.86,40.3,4.53,0.0
140.86,40.3,4.517,0.0
142.14,40.3,4.591,0.0
143.14,40.3,4.37,0.0
145.37,40.3,4.478,0.0
146.41,40.3,4.446,0.0
148.09,40.3,4.282,0.0
149.09,40.4,4.353,0.0
150.24,40.4,4.4,0.0
151.24,40.4,4.537,0.0
152.49,40.4,4.664,0.0
153.9,40.4,4.533,0.0
154.9,40.4,4.587,0.0
155.9,40.4,4.556,0.0
156.9,40.4,4.592,0.0
157.9,40.4,4.755,0.0
159.16,40.5,4.666,0.0
160.37,40.5,4.669,0.0
161.37,40.5,4.587,0.0
164.04,40.5,4.621,0.0
165.35,40.5,4.615,0.0
167.79,40.5,4.642,0.0
168.79,40.6,4.552,0.0
170.92,40.6,4.508,0.0
171.92,40.6,4.518,0.0
172.93,40.6,4.609,0.0
173.93,40.6,4.676,0.0
175.76,40.6,4.511,0.0
176.76,40.6,4.553,0.0
178.13,40.8,4.228,0.0
180.16,40.8,4.349,0.0
181.25,40.8,4.346,0.0
182.26,40.8,4.279,0.0
183.26,40.8,4.33,0.0
184.52,40.8,4.329,0.0
185.52,40.8,4.363,0.0
187.12,40.8,4.555,0.0
189.75,40.8,4.677,0.0
190.75,40.9,4.456,0.0
191.75,40.9,4.716,0.0
193.14,40.9,4.586,0.0
194.44,40.9,4.49,0.0
196.5,41.0,4.406,0.0
198.06,41.0,4.286,0.0
199.06,41.0,4.366,0.0
200.06,41.0,4.304,0.0
201.06,41.0,4.326,0.0
202.06,41.0,4.257,0.0
203.78,41.0,4.253,0.0
204.78,41.0,4.332,0.0
205.78,41.0,4.327,0.0
206.78,41.0,4.549,0.0
208.15,41.0,4.519,0.0
209.54,41.0,4.53,0.0
210.54,41.1,4.47,0.0
212.64,41.1,4.511,0.0
214.07,41.1,4.508,0.0
215.14,41.1,4.456,0.0
216.14,41.1,4.458,0.0
218.2,41.1,4.532,0.0
219.2,41.1,4.55,0.0
220.2,41.2,4.645,0.0
221.2,41.2,4.38,0.0
222.2,41.2,4.396,0.0
223.22,41.2,4.511,0.0
224.37,41.2,4.42,0.0
226.04,41.2,4.626,0.0
227.04,41.2,4.681,0.0
228.58,41.2,4.589,0.0
229.84,41.2,4.589,0.0
230.84,41.3,4.604,0.0
232.32,41.3,4.515,0.0
233.38,41.3,4.661,0.0
234.38,41.3,4.451,0.0
235.38,41.3,4.516,0.0
236.38,41.3,4.546,0.0
237.38,41.3,4.546,0.0
238.77,41.3,4.545,0.0
240.16,41.4,4.442,0.0
241.48,41.4,4.379,0.0
242.51,41.4,4.456,0.0
243.51,41.4,4.254,0.0
246.1,41.4,4.277,0.0
247.12,41.4,4.274,0.0
248.12,41.4,4.345,0.0
249.12,41.4,4.145,0.0
250.12,41.5,4.285,0.0
251.48,41.5,4.307,0.0
252.48,41.5,4.328,0.0
254.21,41.5,4.529,0.0
256.84,41.5,4.521,0.0
257.84,41.5,4.585,0.0
258.84,41.5,4.305,0.0
259.84,41.6,4.306,0.0
260.84,41.6,4.609,0.0
262.57,41.6,4.415,0.0
263.57,41.6,4.302,0.0
265.58,41.6,4.51,0.0
266.58,41.6,4.381,0.0
267.58,41.6,4.475,0.0
268.58,41.7,4.376,0.0
270.61,41.7,4.384,0.0
271.61,41.7,4.38,0.0
272.61,41.7,4.413,0.0
273.61,41.7,4.508,0.0
275.16,41.7,4.374,0.0
276.16,41.7,4.592,0.0
277.16,41.7,4.457,0.0
278.27,41.7,4.503,0.0
279.27,41.7,4.524,0.0
280.27,41.8,4.346,0.0
281.41,41.8,4.325,0.0
282.43,41.8,4.305,0.0
284.01,41.8,4.399,0.0
285.25,41.8,4.239,0.0
286.63,41.8,4.288,0.0
288.14,41.8,4.455,0.0
290.1,41.8,4.103,0.0
292.16,41.8,4.219,0.0
293.16,41.8,4.401,0.0
294.16,41.8,4.458,0.0
295.17,41.8,4.456,0.0
296.17,41.8,4.523,0.0
297.17,41.8,4.492,0.0
298.72,41.8,4.488,0.0
299.81,41.9,4.698,0.0
